Index,Address,Currency,TotalRewards,TimeStart,TimeEnd,TimeAggregation,StartingBalance,ProtocolRewards,TxFeeRewards,MevRewards
458466,0x84764d5c1dbd4e7f89394b96875e5cad4faa2ccf4843039ca71ce5d66111092cf7c5ad890c7fc03a987d0a22ef56d335,ETH,0.002688,2023-06-26T00:00:00Z,2023-06-26T23:59:59Z,daily,32.007748,0.002688,0.000000,0.000000
458466,0x84764d5c1dbd4e7f89394b96875e5cad4faa2ccf4843039ca71ce5d66111092cf7c5ad890c7fc03a987d0a22ef56d335,ETH,0.002671,2023-06-27T00:00:00Z,2023-06-27T23:59:59Z,daily,32.010436,0.002671,0.000000,0.000000
458466,0x84764d5c1dbd4e7f89394b96875e5cad4faa2ccf4843039ca71ce5d66111092cf7c5ad890c7fc03a987d0a22ef56d335,ETH,0.002674,2023-06-28T00:00:00Z,2023-06-28T23:59:59Z,daily,32.013108,0.002674,0.000000,0.000000
458466,0x84764d5c1dbd4e7f89394b96875e5cad4faa2ccf4843039ca71ce5d66111092cf7c5ad890c7fc03a987d0a22ef56d335,ETH,0.002681,2023-06-29T00:00:00Z,2023-06-29T23:59:59Z,daily,32.001681,0.002681,0.000000,0.000000
458466,0x84764d5c1dbd4e7f89394b96875e5cad4faa2ccf4843039ca71ce5d66111092cf7c5ad890c7fc03a987d0a22ef56d335,ETH,0.002672,2023-06-30T00:00:00Z,2023-06-30T23:59:59Z,daily,32.004362,0.002672,0.000000,0.000000
418394,0x8656f3b6378f5d2685746b513f154f3b0a2b9666112e5971d1f8928ac420e7639656c66fbefff76e4584aa8c5020a030,ETH,0.002745,2023-06-01T00:00:00Z,2023-06-01T23:59:59Z,daily,32.009079,0.002745,0.000000,0.000000
418394,0x8656f3b6378f5d2685746b513f154f3b0a2b9666112e5971d1f8928ac420e7639656c66fbefff76e4584aa8c5020a030,ETH,0.002746,2023-06-02T00:00:00Z,2023-06-02T23:59:59Z,daily,32.011824,0.002746,0.000000,0.000000
418394,0x8656f3b6378f5d2685746b513f154f3b0a2b9666112e5971d1f8928ac420e7639656c66fbefff76e4584aa8c5020a030,ETH,0.002766,2023-06-03T00:00:00Z,2023-06-03T23:59:59Z,daily,32.001315,0.002766,0.000000,0.000000
418394,0x8656f3b6378f5d2685746b513f154f3b0a2b9666112e5971d1f8928ac420e7639656c66fbefff76e4584aa8c5020a030,ETH,0.002714,2023-06-04T00:00:00Z,2023-06-04T23:59:59Z,daily,32.004081,0.002714,0.000000,0.000000
418394,0x8656f3b6378f5d2685746b513f154f3b0a2b9666112e5971d1f8928ac420e7639656c66fbefff76e4584aa8c5020a030,ETH,0.002690,2023-06-05T00:00:00Z,2023-06-05T23:59:59Z,daily,32.006795,0.002690,0.000000,0.000000
418394,0x8656f3b6378f5d2685746b513f154f3b0a2b9666112e5971d1f8928ac420e7639656c66fbefff76e4584aa8c5020a030,ETH,0.002719,2023-06-06T00:00:00Z,2023-06-06T23:59:59Z,daily,32.009485,0.002719,0.000000,0.000000
418394,0x8656f3b6378f5d2685746b513f154f3b0a2b9666112e5971d1f8928ac420e7639656c66fbefff76e4584aa8c5020a030,ETH,0.002726,2023-06-07T00:00:00Z,2023-06-07T23:59:59Z,daily,32.012204,0.002726,0.000000,0.000000
